year,amount_USD,project_title_description,donor_org,donor_org_type,recipient_org,recipient_org_type,recipient_location,recipient_location_iso3,source,source_id
2022,932123,"Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS); MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP (Metadrasi) for the project ""Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS)""",IOM,Multilateral: UN,METADRASI (Implementing Partner),NGOs: National,Greece,GRC,IOM,4500215145
2022,1096435,"Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS); MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP (ASB) for the implementation of the project ""Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS)"".",IOM,Multilateral: UN,ARBEITER SAMARITER BUND DEUTSCHLAND,NGOs: International,Greece,GRC,IOM,4500225991
2022,150000,"Provision of Critical Camp Management Services in North-East Nigeria to Improve Living Conditions in Camp and Camp-like Settings during the Rainy Season.; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Provision of Critical Camp Management Service in North-east Nigeria to Improving Living conditions in Camp and Camp-like Setting durring rainy season PR Ref: 4200363263 Contract Ref: NGA22-040/MDG",IOM,Multilateral: UN,SMILING HEARTS INITIATIVES INTERNAT,NGOs: National,Nigeria,NGA,IOM,4500271985
2022,10000,"Addressing Humanitarian Needs of Internally Displaced Persons (IDPs) in Port-au-Prince and Providing Emergency Assistance to People Affected by the Earthquake; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Support ops capacity local partner health",IOM,Multilateral: UN,Mouvman Fanm Vizyone Dayiti MOFAVID,NGOs: National,Haiti,HTI,IOM,4500192758
2022,30000,"Addressing Humanitarian Needs of Internally Displaced Persons (IDPs) in Port-au-Prince and Providing Emergency Assistance to People Affected by the Earthquake; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Support ops capacity local prtnr health",IOM,Multilateral: UN,COMPLEXE DE SERVICE COMMUNAUTAIRE,NGOs: National,Haiti,HTI,IOM,4500193048
2022,50000,"Addressing Humanitarian Needs of Internally Displaced Persons (IDPs) in Port-au-Prince and Providing Emergency Assistance to People Affected by the Earthquake; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Support ops capacity local prtnr health",IOM,Multilateral: UN,COMPLEXE DE SERVICE COMMUNAUTAIRE,NGOs: National,Haiti,HTI,IOM,4500193381
2022,50000,"Addressing Humanitarian Needs of Internally Displaced Persons (IDPs) in Port-au-Prince and Providing Emergency Assistance to People Affected by the Earthquake; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP for Konpayi Nanm Soley Dayiti for wash activities in ZMPP",IOM,Multilateral: UN,KONPAYI NANM SOLEY DAYITI,NGOs: National,Haiti,HTI,IOM,4500193465
2022,30000,"Addressing Humanitarian Needs of Internally Displaced Persons (IDPs) in Port-au-Prince and Providing Emergency Assistance to People Affected by the Earthquake; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP with LIDEE for wash activities in ZMPP",IOM,Multilateral: UN,LIGUE INTERSCOLAIRE (LIDEE),NGOs: National,Haiti,HTI,IOM,4500193466
2022,1098,"Improving the Well-Being of Persons with Disabilities in Camp and Camp-like Settings; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  PO was raised for the purpose of payment, as  transaction could not be posted through FB60, since the vendor was created as an IP",IOM,Multilateral: UN,UNIVERSITY OF MAIDUGURI TEACHING,Other: National,Nigeria,NGA,IOM,4500247265
2022,54072,"Camp Coordination and Camp Management and Emergency Shelter and Non-Food Items (NFI) Assistance for Conflict Affected Populations in Northern Ethiopia; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP Transfer ... Providing emergency shelter non food items kits (ESNFI)for 2,000 IDPs in Eokota Town, Wag Hemra Zone, Amhara region state at a total amount USD 54,071.50.  Reference;- PR-4200201538 PIA NO-ETH/ADD/FEB/990/2022.",IOM,Multilateral: UN,Positive Action for Development,NGOs: National,Ethiopia,ETH,IOM,4500189328
2022,299977,"Camp Coordination and Camp Management and Emergency Shelter and Non-Food Items (NFI) Assistance for Conflict Affected Populations in Northern Ethiopia; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Service for: C/GOJ/ECHO -Cash for Rent Response for Woldiya and mersa Woreda in North Wollo Zone of Amhara Region for 3,500 HHs (17,500 family members) based on the agreement between International Organization for Migration (IOM) and the Implementing Par",IOM,Multilateral: UN,CARE Inc.,NGOs: International,Ethiopia,ETH,IOM,4500196034
2022,209207,"Camp Coordination and Camp Management and Emergency Shelter and Non-Food Items (NFI) Assistance for Conflict Affected Populations in Northern Ethiopia; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP - Emergency shelter response - Cash rent - In Amhara region for 1,000 Households (5,000 Individuals)  Reference- PR-4200220795 Agreement- ETH/ADD/MARCH/1013/2022",IOM,Multilateral: UN,Dorcas Aid Ethiopia (DAE),NGOs: International,Ethiopia,ETH,IOM,4500199261
2022,100915,"Camp Coordination and Camp Management and Emergency Shelter and Non-Food Items (NFI) Assistance for Conflict Affected Populations in Northern Ethiopia; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP - Live saving emeergency shelter and NFI assistance for conflict affected displaced communities in Berahale of Afar region.  Reference- PR-4200212270 Agreement-ETH/ADD/MARCH/1002/2022",IOM,Multilateral: UN,ACTION FOR THE NEEDY IN ETH (ANE),NGOs: National,Ethiopia,ETH,IOM,4500199284
2022,40543,"Camp Coordination and Camp Management and Emergency Shelter and Non-Food Items (NFI) Assistance for Conflict Affected Populations in Northern Ethiopia; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Emergency NFI support for IDPs Hintalo and Adigerat for 3400 household at the total amount of 213,383.00 USD PRF#4500206584",IOM,Multilateral: UN,Development for Peace Organization,NGOs: National,Ethiopia,ETH,IOM,4500206584
2022,80088,"Camp Coordination and Camp Management and Emergency Shelter and Non-Food Items (NFI) Assistance for Conflict Affected Populations in Northern Ethiopia; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  SNFI0099 - IP LWF Life-saving assistance through emergency NFIs to IDP Households in Abergele Woreda of Central Zone in the Tigray Region",IOM,Multilateral: UN,Lutheran World Feder'n WS-Eth,NGOs: International,Ethiopia,ETH,IOM,4500220093
2022,14043,"Camp Coordination and Camp Management and Emergency Shelter and Non-Food Items (NFI) Assistance for Conflict Affected Populations in Northern Ethiopia; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  PIA Referance ETH/ADD/June/1055/2022 PO created for MIGO/MIRO",IOM,Multilateral: UN,Danish refugee Council (DRC),NGOs: International,Ethiopia,ETH,IOM,4500224034
2022,54450,"Integrated Assistance in CCCM/NFI/Shelter Targeting Displaced Populations in Sites/Locations and Those of Recent Shocks in the Prefectures of Ouham Pende, Ouham, Bamingui Bangoran and Basse Kotto; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Contrat IP projet de mise en place des mecanismes de redevabilité a Paoua, Ndele et Bocaranga.  PR# 4200233579",IOM,Multilateral: UN,CINEMA NUMERIQUE AMBULANT RCA,NGOs: National,Central African Rep,CAF,IOM,4500214238
2022,4004,"Integrated Assistance in CCCM/NFI/Shelter Targeting Displaced Populations in Sites/Locations and Those of Recent Shocks in the Prefectures of Ouham Pende, Ouham, Bamingui Bangoran and Basse Kotto; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Round 15 DTM contrat partenaire ouham Bangui Ombrella Mpoko and Nana Mambere pr# 4200219841 / 4200236460",IOM,Multilateral: UN,Association des Femmes Evang. BOSSA,NGOs: National,Central African Rep,CAF,IOM,4500216358
2022,23088,"Integrated Assistance in CCCM/NFI/Shelter Targeting Displaced Populations in Sites/Locations and Those of Recent Shocks in the Prefectures of Ouham Pende, Ouham, Bamingui Bangoran and Basse Kotto; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Mobility tracking a Ouham",IOM,Multilateral: UN,VISION ENFANT REPUBLIQUE CENTRAFRIC,NGOs: National,Central African Rep,CAF,IOM,4500236298
2022,5513,"Integrated Assistance in CCCM/NFI/Shelter Targeting Displaced Populations in Sites/Locations and Those of Recent Shocks in the Prefectures of Ouham Pende, Ouham, Bamingui Bangoran and Basse Kotto; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Distribution kit shelter a Alidao. P#4200314495",IOM,Multilateral: UN,COLLECTIF¨POUR LA PAIX EN CENTRAFRI,NGOs: National,Central African Rep,CAF,IOM,4500255122
2022,6979,"Integrated Assistance in CCCM/NFI/Shelter Targeting Displaced Populations in Sites/Locations and Those of Recent Shocks in the Prefectures of Ouham Pende, Ouham, Bamingui Bangoran and Basse Kotto; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  DTM activity a Basse Kotto",IOM,Multilateral: UN,COLLECTIF¨POUR LA PAIX EN CENTRAFRI,NGOs: National,Central African Rep,CAF,IOM,4500257402
2022,482001,"Wellbeing of Populations Affected is Strengthened through Camp Coordination and Camp Management (CCCM) Support to IDPs and Host Community.; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  PO Created for MIGO/MIRO Purpose pls refer PIA EDD/ADD/June/1056/2022",IOM,Multilateral: UN,Positive Action for Development,NGOs: National,Ethiopia,ETH,IOM,4500224030
2022,20106,"Assist Northbound Transregional/Continental Mixed Migration Flow in Colombia; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E - 024 - 001 DE 2022 12626899 ASOCIACION DE APOYO AL DESARROLLO (IP)  TOTAL VALUE:  COP 137.850.200 OIM CONTRIB:  COP 80.000.000 + 46.000.000 FUD CONTRIB:  COP 7.000.000 + 4.850.200",IOM,Multilateral: UN,ASOCIACION DE APOYO AL DESARROLLO,NGOs: Local,Colombia,COL,IOM,4500187160
2022,121048,"Upscaling Multisector Humanitarian Assistance for Populations Affected by Insecurity in Cabo Delgado, Mozambique; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP transfers – International CSOs (Goods Emergency Shelter Intervention for the most vulnerable IDPs in Ibo District",IOM,Multilateral: UN,OIKOS,NGOs: International,Mozambique,MOZ,IOM,4500184530
2022,32229,"Improving Migrant Assistance and Supporting Local Communities in Republika Srpska; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Red Cross mobile units support and coordination (Visegrad, Bijeljina, Banja Luka) from 15.02.-15.11.2022 Contract ref.:225-22-AD-BA10-NP",IOM,Multilateral: UN,Red Cross of the Republic of Srpska,Red Cross: National,Bosnia and Hezergovina,BIH,IOM,4500218603
2022,8813,"Improving Migrant Assistance and Supporting Local Communities in Republika Srpska; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Red Cross mobile units support and coordination in Tuzla Canton Contract ref.:381-22-AV-BA10-NP",IOM,Multilateral: UN,Crveni kriz Tuzlanskog kantona,Red Cross: National,Bosnia and Hezergovina,BIH,IOM,4500246888
2022,158793,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT; 000000000500000124-IP transfers – National CSOs",IOM,Multilateral: UN,PARROQUIA BEATO JUAN BAUTISTA SCALA,Other: Local,Colombia,COL,IOM,4500180110
2022,179062,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT; 000000000500000124-IP transfers – National CSOs",IOM,Multilateral: UN,CRUZ ROJA COLOMBIANA CUNDINAMARCA,Red Cross: National,Colombia,COL,IOM,4500180282
2022,78736,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E - 019 - 003 DE 2021 12626433 CORPORACION VIVE - EME CONTINUE TO PO 4500139136  TOTAL VALUE: COP 1.420.964.788 OIM CONTRIB: COP   499.126.272 + 153.163.200 + 162.489.600 CRP CONTRIB: COP   606.185.716",IOM,Multilateral: UN,CORPORACION VIVE,NGOs: Local,Colombia,COL,IOM,4500180320
2022,149158,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-012 DE 2021 12626963 CORPORACION SCALABRINI (IP) -EME CONTINUE TO PO 4500140773 TOTAL VALUE: COP 2.571.108.043 IOM CONTRIB: COP 399.600.000 + 140.775.000 + 131.960.000 BOGOTÁ              COP 754.800.000 + 225.240.000 + 100.000.000",IOM,Multilateral: UN,CORPORACION SCALABRINI,NGOs: National,Colombia,COL,IOM,4500180333
2022,108860,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-009 DE 2021 12610326 SEC. DIOCES. PASTORAL SOCIAL IPI CONTINUE TO PO 4500139120 TOTAL VALUE:  COP 1.838.158.050 IOM CONTRIB: COP   732.600.000 + 168.930.000 + 187.488.000 + 80.000.000 SEC CONTRIB: COP    352.066.000 + 317.074.050",IOM,Multilateral: UN,SEC. DIOCES. PASTORAL SOCIAL IPIALE,Other: Local,Colombia,COL,IOM,4500180344
2022,102834,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-007 DE 2021 12628262 SECRETARIADO DIOCESANO PASTORAL S  TOTAL VALUE: COP 1.702.896.044 IOM CONTRIB: COP 732.600.000 + 168.930.000 + 187.488.000 + 55.844.711 SEC CONTRIB: COP 257.133.333 + 300.900.000  CONTINUE TO PO  4500142878",IOM,Multilateral: UN,SECRETARIADO DIOCESANO PASTORAL SOC,Other: Local,Colombia,COL,IOM,4500183432
2022,42138,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-008 DE 2021 12626896 FUNDACION PERSONAS PASO A PASO IP EME CONTINUE TO PO 4500139123  TOTAL VALUE: COP 1.602.787.600 IOM CONTRIB: COP   754.800.000 + 302.770.000 + 168.930.000 FUN CONTRIB: COP   376.287.600",IOM,Multilateral: UN,FUNDACION PERSONAS PASO A PASO (IP),NGOs: Local,Colombia,COL,IOM,4500183434
2022,68942,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-002 DE 2021 12626894 SECRETARIADO PASTORAL S.D PALMIRA  CONTINUE TO PO 4500142215  TOTAL VALUE: COP 2.145.128.598 IOM CONTRIB: COP 580.000.000 + 67.000.000 + 202.716.000 + 200.000.000 +                  293.025.000 + 204.480.000 +",IOM,Multilateral: UN,SECRETARIADO PASTORAL S.D PALMIRA (,Other: Local,Colombia,COL,IOM,4500183436
2022,123532,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-013 DE 2021 12626899 ASOCIACION DE APOYO AL DESARROLLO EME CONTINUE TO PO 4500139837 TOTAL VALUE: COP 2.009.040.000 IOM CONTRIB: COP 1.443.000.000 + 225.240.000 + 270.000.000 ASC CONTRIB: COP    45.800.000 +  25.000.000",IOM,Multilateral: UN,ASOCIACION DE APOYO AL DESARROLLO,NGOs: Local,Colombia,COL,IOM,4500183531
2022,49255,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E - 019 - 005 DE 2021 12628275 FUNDACION COMMUNITAS (IP) CONTINUE TO PO 4500145547 TOTAL VALUE:  COP 593.303.200 OIM CONTRIB:  COP 299.700.000 + 84.465.000 + 113.000.000 SOC CONTRIB:  COP 96.138.200",IOM,Multilateral: UN,FUNDACION COMMUNITAS (IP),NGOs: National,Colombia,COL,IOM,4500183532
2022,88904,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E - 019 - 006 DE 2021 12617462 SECRETA DE PASTORAL SOCIAL RIOHACHA - EME CONTINUE TO PO 4500139138  TOTAL VALUE:  COP 1.624.315.470 OIM CONTRIB:  COP 444.000.000 + 168.930.000 + 187.488.000 SOC CONTRIB:  COP 823.897.470",IOM,Multilateral: UN,SECRETA DE PASTORAL SOCIAL RIOHACHA,Other: Local,Colombia,COL,IOM,4500183533
2022,144642,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-023 DE 2021 12627606 WORLD VISION INTERNATIONAL (IP)- EME CONTINUE TO PO 4500149018 TOTAL VALUE: COP 1.706.627.858 IOM CONTRIB: COP 1.084.723.238 + 503.370.000 + 76.500.000 UNV CONTRIB:  COP   42.034.620",IOM,Multilateral: UN,WORLD VISION INTERNATIONAL (IP),NGOs: International,Colombia,COL,IOM,4500183535
2022,314393,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-016 DE 2021 12607926 FUNDACION PLAN - EME CONTINUE TO PO 4500140763 TOTAL VALUE: COP 3.044.122.407 IOM CONTRIB: COP 1.531.800.029 + 97.604.000 + 551.310.000 +709.090.001 UNV CONTRIB: COP   154.318.377",IOM,Multilateral: UN,FUNDACION PLAN,NGOs: International,Colombia,COL,IOM,4500183537
2022,94422,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-017 DE 2021 12623516 FUNDACION SIGNIFICANTE (IP)-EME CONTINUE TO PO 4500146217 TOTAL VALUE: COP 704.136.000 IOM CONTRIB: COP 296.000.000 + 159.800.000+ 218.736.000 FND CONTRIB:  COP 29.600.000",IOM,Multilateral: UN,FUNDACION SIGNIFICARTE (IP),NGOs: National,Colombia,COL,IOM,4500183540
2022,113886,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-001 DE 2021 12624738 CENTRO ARQUIDIOCESANO DEL MIGRANT EME CONTINUE TO PO 4500140761 TOTAL VALUE: COP  1.520.433.984 IOM CONTRIB: COP   486.000.000 + 29.100.000 + 168.930.000 + 200.000.000 + 87.640.000 ARQ CONTRIB: COP   246.871.97",IOM,Multilateral: UN,CENTRO ARQUIDIOCESANO DEL MIGRANTE,NGOs: National,Colombia,COL,IOM,4500183755
2022,438994,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-015 DE 2021 12601091 SOCIEDAD NACIONAL DE LA CRUZ ROJA  -EME CONTINUE TO PO 4500146820 TOTAL VALUE: COP 5.201.630.056 IOM CONTRIB: COP 1.443.000.000 + 379.933.886 CASANARE + 1.332.000.000 +  446.573.288 N. SANTANDER + 382.460.800 C",IOM,Multilateral: UN,SOCIEDAD NACIONAL DE LA CRUZ ROJA (,Red Cross: National,Colombia,COL,IOM,4500183762
2022,84456,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-025 DE 2021 12615137 CORPORACION VIVIENDO JUNTOS  CONTINUE TO PO 4500142485  TOTAL VALUE: COP 656.453.732 IOM CONTRIB: COP 178.219.798 + 119.850.000 + $218.736.000 COR CONTRIB: COP 139.647.934",IOM,Multilateral: UN,CORPORACION VIVIENDO JUNTOS,NGOs: National,Colombia,COL,IOM,4500183765
2022,249990,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-028 DE 2021 12611970 ALDEAS INFANTILES SOS COLOMBIA -EME CONTINUE TO PO 4500147631 TOTAL VALUE: COP 2.097.133.679 IOM CONTRIB: COP 1.198.800.000 -154.276.393 + 275.655.000 + 794.422.460                                   - 67.867.38",IOM,Multilateral: UN,ALDEAS INFANTILES COLOMBIA,NGOs: International,Colombia,COL,IOM,4500183771
2022,739497,"2022 Regional Refugee and Migrant Response Plan (RMRP) for the Venezuelan Situation; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  CONVENIO E<(>&<)>E-019-022 DE 2021 12601139 CORPORACION OPCION LEGAL (IP)-EME CONTINUE TO PO 4500146225 TOTAL VALUE: COP 6.265.620.352 IOM CONTRIB: COP 2.990.526.938 + 1.402.245.000 + 1.659.245.000 CRP CONTRIB:  COP  213.120.562",IOM,Multilateral: UN,CORPORACION OPCION LEGAL (IP),NGOs: National,Colombia,COL,IOM,4500183773
